Date,Adj Close,Close,High,Low,Open,Volume
1980-12-12,0.09883447,0.128347993,0.128905997,0.128347993,0.128347993,469033600
1980-12-15,0.093678214,0.121652,0.122210003,0.121652,0.122210003,175884800
1980-12-16,0.086802408,0.112723,0.113280997,0.112723,0.113280997,105728000
1980-12-17,0.088950872,0.115512997,0.116071001,0.115512997,0.115512997,86441600
1980-12-18,0.091529764,0.118862003,0.119419999,0.118862003,0.118862003,73449600
1980-12-19,0.097115695,0.126115993,0.126673996,0.126115993,0.126115993,48630400
1980-12-22,0.101842329,0.132254004,0.132813007,0.132254004,0.132254004,37363200
1980-12-23,0.10613998,0.137834996,0.138393,0.137834996,0.137834996,46950400
1980-12-24,0.111725859,0.145089,0.145647004,0.145089,0.145089,48003200
1980-12-26,0.122039191,0.158482,0.159040004,0.158482,0.158482,55574400
1980-12-29,0.123757936,0.160714,0.161272004,0.160714,0.160714,93161600
1980-12-30,0.120750137,0.156808004,0.157365993,0.156808004,0.157365993,68880000
1980-12-31,0.117312618,0.152344003,0.152902007,0.152344003,0.152902007,35750400
1981-01-02,0.118601672,0.154018,0.155134007,0.154018,0.154018,21660800
1981-01-05,0.11602354,0.150670007,0.151227996,0.150670007,0.151227996,35728000
1981-01-06,0.110866457,0.143972993,0.144530997,0.143972993,0.144530997,45158400
1981-01-07,0.10613998,0.137834996,0.138393,0.137834996,0.138393,55686400
1981-01-08,0.103991516,0.135045007,0.135602996,0.135045007,0.135602996,39827200
1981-01-09,0.109577484,0.142298996,0.142857,0.142298996,0.142298996,21504000
1981-01-12,0.108718075,0.141183004,0.142298996,0.141183004,0.142298996,23699200
1981-01-13,0.104850866,0.136161,0.136719003,0.136161,0.136719003,23049600
1981-01-14,0.105280563,0.136719003,0.137277007,0.136719003,0.136719003,14291200
1981-01-15,0.107429035,0.139509007,0.140625,0.139509007,0.139509007,14067200
1981-01-16,0.10656964,0.138393,0.138951004,0.138393,0.138951004,13395200
1981-01-19,0.113014929,0.146762997,0.147321001,0.146762997,0.146762997,41574400
1981-01-20,0.109577484,0.142298996,0.142857,0.142298996,0.142857,30083200
1981-01-21,0.111725859,0.145089,0.146204993,0.145089,0.145089,15904000
1981-01-22,0.113014929,0.146762997,0.147879004,0.146762997,0.146762997,35548800
1981-01-23,0.112585276,0.146204993,0.147321001,0.146204993,0.146762997,11222400
1981-01-26,0.110866457,0.143972993,0.144530997,0.143972993,0.144530997,24640000
1981-01-27,0.110007107,0.142857,0.143972993,0.142857,0.143972993,23699200
1981-01-28,0.10656964,0.138393,0.138951004,0.138393,0.138951004,28156800
1981-01-29,0.102702424,0.133370996,0.133928999,0.133370996,0.133928999,43904000
1981-01-30,0.097115695,0.126115993,0.127232,0.126115993,0.127232,46188800
1981-02-02,0.091529764,0.118862003,0.119419999,0.118862003,0.119419999,23766400
1981-02-03,0.094967306,0.123326004,0.123884,0.123326004,0.123326004,19152000
1981-02-04,0.098404787,0.127790004,0.128347993,0.127790004,0.127790004,27865600
1981-02-05,0.098404787,0.127790004,0.128905997,0.127790004,0.127790004,7929600
1981-02-06,0.09883447,0.128347993,0.128905997,0.128347993,0.128347993,13865600
1981-02-09,0.093678214,0.121652,0.122768,0.121652,0.122768,16755200
1981-02-10,0.093678214,0.121652,0.122210003,0.121652,0.121652,18345600
1981-02-11,0.090670392,0.117746003,0.118303999,0.117746003,0.118303999,13843200
1981-02-12,0.08981023,0.116628997,0.117187999,0.116628997,0.117187999,14560000
1981-02-13,0.08766181,0.113839,0.114955001,0.113839,0.114955001,11155200
1981-02-17,0.08981023,0.116628997,0.117187999,0.116628997,0.116628997,12275200
1981-02-18,0.093678214,0.121652,0.122768,0.121652,0.121652,19241600
1981-02-19,0.088091508,0.114396997,0.114955001,0.114396997,0.114955001,22310400
1981-02-20,0.083364911,0.108259,0.108817004,0.108259,0.108817004,24371200
1981-02-23,0.084653996,0.109932996,0.110491,0.109932996,0.109932996,14112000
1981-02-24,0.081646182,0.106027,0.107143,0.106027,0.107143,16979200
1981-02-25,0.086802408,0.112723,0.113280997,0.112723,0.112723,19488000
1981-02-26,0.088091508,0.114396997,0.114955001,0.114396997,0.114396997,10841600
1981-02-27,0.091100067,0.118303999,0.119419999,0.118303999,0.118303999,14761600
1981-03-02,0.091529764,0.118862003,0.119419999,0.118862003,0.118862003,11760000
1981-03-03,0.09024068,0.117187999,0.117746003,0.117187999,0.117746003,16172800
1981-03-04,0.089380607,0.116071001,0.116628997,0.116071001,0.116628997,13708800
1981-03-05,0.088950872,0.115512997,0.116071001,0.115512997,0.116071001,5376000
1981-03-06,0.088091508,0.114396997,0.115512997,0.114396997,0.115512997,11603200
1981-03-09,0.081216462,0.105469003,0.106027,0.105469003,0.106027,15321600
1981-03-10,0.0773485,0.100446001,0.101003997,0.100446001,0.101003997,28380800
1981-03-11,0.074340694,0.096539997,0.097655997,0.096539997,0.097655997,29859200
1981-03-12,0.0773485,0.100446001,0.101003997,0.100446001,0.100446001,59248000
1981-03-13,0.076489128,0.099330001,0.099887997,0.099330001,0.099887997,231302400
1981-03-16,0.07949771,0.103237003,0.104353003,0.103237003,0.103237003,37228800
1981-03-17,0.083364911,0.108259,0.109375,0.108259,0.108259,43747200
1981-03-18,0.08852119,0.114955001,0.116071001,0.114955001,0.114955001,36937600
1981-03-19,0.08766181,0.113839,0.114396997,0.113839,0.114396997,37811200
1981-03-20,0.08852119,0.114955001,0.116071001,0.114955001,0.114955001,14604800
1981-03-23,0.091959454,0.119419999,0.120536,0.119419999,0.119419999,22019200
1981-03-24,0.091529764,0.118862003,0.119419999,0.118862003,0.119419999,28156800
1981-03-25,0.08981023,0.116628997,0.117746003,0.116628997,0.117746003,7056000
1981-03-26,0.088091508,0.114396997,0.114955001,0.114396997,0.114955001,12275200
1981-03-27,0.085083708,0.110491,0.111048996,0.110491,0.111048996,12252800
1981-03-30,0.085083708,0.110491,0.111607,0.110491,0.110491,9900800
1981-03-31,0.084224284,0.109375,0.110491,0.109375,0.110491,15993600
1981-04-01,0.083364911,0.108259,0.108817004,0.108259,0.108817004,34070400
1981-04-02,0.090670392,0.117746003,0.118303999,0.117746003,0.117746003,31404800
1981-04-03,0.091100067,0.118303999,0.118862003,0.118303999,0.118303999,16486400
1981-04-06,0.089380607,0.116071001,0.116628997,0.116071001,0.116628997,22803200
1981-04-07,0.08852119,0.114955001,0.115512997,0.114955001,0.115512997,10684800
1981-04-08,0.092818819,0.120536,0.121652,0.120536,0.120536,21952000
1981-04-09,0.094537601,0.122768,0.123326004,0.122768,0.122768,12499200
1981-04-10,0.095826671,0.124442004,0.125,0.124442004,0.124442004,33465600
1981-04-13,0.095826671,0.124442004,0.125,0.124442004,0.124442004,16060800
1981-04-14,0.095826671,0.124442004,0.125,0.124442004,0.124442004,6652800
1981-04-15,0.091100067,0.118303999,0.118862003,0.118303999,0.118862003,34048000
1981-04-16,0.085943043,0.111607,0.112164997,0.111607,0.112164997,23878400
1981-04-20,0.08852119,0.114955001,0.115512997,0.114955001,0.114955001,35347200
1981-04-21,0.094537601,0.122768,0.123326004,0.122768,0.122768,28537600
1981-04-22,0.097975098,0.127232,0.127790004,0.127232,0.127232,18995200
1981-04-23,0.100553259,0.130579993,0.131137997,0.130579993,0.130579993,58016000
1981-04-24,0.099693879,0.129464,0.130579993,0.129464,0.130579993,35056000
1981-04-27,0.09883447,0.128347993,0.128905997,0.128347993,0.128905997,38528000
1981-04-28,0.097115695,0.126115993,0.126673996,0.126115993,0.126673996,32188800
1981-04-29,0.095826671,0.124442004,0.125,0.124442004,0.125,13641600
1981-04-30,0.097545393,0.126673996,0.127790004,0.126673996,0.126673996,12611200
1981-05-01,0.097545393,0.126673996,0.127790004,0.126673996,0.126673996,16553600
1981-05-04,0.097115695,0.126115993,0.126673996,0.126115993,0.126673996,14448000
